geometry,Crime Description,Offense Code,Occurrence Date,Occurrence Time,Street Name,Street Type,Address Block
"X: 3123198, Y: 10109941, Z: NaN",MURDER,0100,2020-01-17T00:00:00.0000000,1548,RUTLAND,DR,1700
"X: 3116254, Y: 10048185, Z: NaN",MURDER,0100,2020-01-23T00:00:00.0000000,30,ST ELMO,RD,4400
"X: 3128790, Y: 10092240, Z: NaN",MURDER,0100,2020-02-17T00:00:00.0000000,2259,GRAND CANYON,DR,7000
"X: 3086744, Y: 10054646, Z: NaN",MURDER,0100,2020-02-23T00:00:00.0000000,847,MOPAC EXPY,SVRD,5900
"X: 3151955, Y: 10108551, Z: NaN",MURDER,0100,2020-02-18T00:00:00.0000000,2232,PARMER,LN,5400
"X: 3111146, Y: 10043627, Z: NaN",MURDER,0100,2020-03-13T00:00:00.0000000,2310,STASSNEY,LN,2200
"X: 3086653, Y: 10052443, Z: NaN",MURDER,0100,2020-04-13T00:00:00.0000000,1604,ALLEGRO LUGAR,,3800
"X: 3138527, Y: 10134125, Z: NaN",MURDER,0100,2020-03-22T00:00:00.0000000,2136,FORUM,AVE,15000
"X: 3127054, Y: 10103954, Z: NaN",MURDER,0100,2019-08-23T00:00:00.0000000,2304,LAMAR,BLVD,8900
"X: 3124961, Y: 10095230, Z: NaN",MURDER,0100,2020-03-26T00:00:00.0000000,222,DUVAL,ST,7200
"X: 3102680, Y: 10071385, Z: NaN",MURDER,0100,2020-03-26T00:00:00.0000000,1919,ARNULFO ALONSO,WAY,500
"X: 3124332, Y: 10093155, Z: NaN",MURDER,0100,2020-03-29T00:00:00.0000000,228,HIGHLAND MALL,BLVD,500
"X: 3081983, Y: 10130387, Z: NaN",CRASH/MANSLAUGHTER,0102,2020-04-14T00:00:00.0000000,2200,FM 620,RD,9500
"X: 3116025, Y: 10070581, Z: NaN",MANSLAUGHTER,0102,2020-04-16T00:00:00.0000000,242,7TH,ST,500
"X: 3130114, Y: 10072139, Z: NaN",MURDER,0100,2020-05-28T00:00:00.0000000,2211,SPRINGDALE,RD,1000
"X: 3121822, Y: 10108684, Z: NaN",CAPITAL MURDER,0101,2020-06-23T00:00:00.0000000,1510,NORTHGATE,BLVD,9200
"X: 3127179, Y: 10056845, Z: NaN",MURDER,0100,2020-07-08T00:00:00.0000000,1349,FAIRWAY,ST,6100
"X: 3083364, Y: 10046175, Z: NaN",MURDER,0100,2020-06-20T00:00:00.0000000,433,ALEXANDRIA,DR,3800
"X: 3132488, Y: 10083099, Z: NaN",CAPITAL MURDER,0101,2020-06-28T00:00:00.0000000,755,PECAN SPRINGS,RD,2900
"X: 3128848, Y: 10071637, Z: NaN",MURDER,0100,2020-06-24T00:00:00.0000000,2015,AIRPORT,BLVD,0
"X: 3120814, Y: 10056202, Z: NaN",MURDER,0100,2020-07-13T00:00:00.0000000,1500,WICKERSHAM,LN,2400
"X: 3126153, Y: 10085140, Z: NaN",MURDER,0100,2020-07-20T00:00:00.0000000,524,51ST,ST,1400
"X: 3141995, Y: 10130306, Z: NaN",MURDER,0100,2016-10-15T00:00:00.0000000,316,WELLS BRANCH,PKWY,200
"X: 3135499, Y: 10121165, Z: NaN",MURDER,0100,2020-07-19T00:00:00.0000000,136,CANYON RIDGE,DR,500
"X: 3133646, Y: 10084692, Z: NaN",MURDER,0100,2020-08-22T00:00:00.0000000,1933,MANOR,RD,5700
"X: 3099797, Y: 10049043, Z: NaN",MURDER,0100,2020-08-18T00:00:00.0000000,2042,MOJAVE,DR,5800
"X: 3101173, Y: 10045495, Z: NaN",MURDER,0100,2020-09-16T00:00:00.0000000,527,1ST,ST,6500
"X: 3119400, Y: 10035424, Z: NaN",MURDER,0100,2020-08-26T00:00:00.0000000,1759,JANES RANCH,RD,6600
"X: 3114741, Y: 10070624, Z: NaN",MURDER,0100,2020-08-27T00:00:00.0000000,30,BRAZOS,ST,0
"X: 3119054, Y: 10050787, Z: NaN",MURDER,0100,2020-09-04T00:00:00.0000000,2311,CHAPMAN,LN,3600
"X: 3143075, Y: 10114325, Z: NaN",MURDER,0100,2017-09-12T00:00:00.0000000,1632,PARMER,LN,1700
"X: 3130290, Y: 10057447, Z: NaN",CAPITAL MURDER,0101,2016-04-03T00:00:00.0000000,1133,MONTANA,ST,6800
"X: 3134045, Y: 10116652, Z: NaN",MURDER,0100,2020-10-01T00:00:00.0000000,1635,WALNUT PARK,XING,12100
"X: 3140736, Y: 10115923, Z: NaN",MURDER,0100,2020-09-29T00:00:00.0000000,2041,YARMONT,WAY,12300
"X: 3127635, Y: 10103559, Z: NaN",CAPITAL MURDER,0101,2020-10-30T00:00:00.0000000,2149,CARPENTER,AVE,500
"X: 3120291, Y: 10059292, Z: NaN",MURDER,0100,2020-10-26T00:00:00.0000000,408,RIVERSIDE,DR,2400
"X: 3118790, Y: 10071272, Z: NaN",MURDER,0100,2020-10-25T00:00:00.0000000,204,11TH,ST,1100
"X: 3115951, Y: 10070759, Z: NaN",MURDER,0100,2020-10-08T00:00:00.0000000,1023,7TH,ST,500
"X: 3099006, Y: 10066871, Z: NaN",MANSLAUGHTER,0102,2020-11-08T00:00:00.0000000,727,SPYGLASS,DR,1700
"X: 3078722, Y: 10118748, Z: NaN",MURDER,0100,2020-11-06T00:00:00.0000000,2045,FM 2222,RD,11300
"X: 3140606, Y: 10093664, Z: NaN",CAPITAL MURDER,0101,2020-11-07T00:00:00.0000000,424,US 290 HWY,SVRD,8800
"X: 3121367, Y: 10058225, Z: NaN",MURDER,0100,2020-11-25T00:00:00.0000000,2111,RIVERSIDE,DR,4400
"X: 3121512, Y: 10097495, Z: NaN",MURDER,0100,2020-11-27T00:00:00.0000000,901,SUGAREE,AVE,800
"X: 3120291, Y: 10059292, Z: NaN",MURDER,0100,2020-12-08T00:00:00.0000000,1226,RIVERSIDE,DR,2400
"X: 3115576, Y: 10048512, Z: NaN",MURDER,0100,2020-12-26T00:00:00.0000000,1908,PLEASANT VALLEY,RD,0
"X: 3128741, Y: 10091979, Z: NaN",MURDER,0100,2021-01-11T00:00:00.0000000,144,GRAND CANYON,DR,6900
"X: 3100631, Y: 10052547, Z: NaN",MURDER,0100,2021-01-18T00:00:00.0000000,2204,BRIGHTON,RD,5000
"X: 3122852, Y: 10060647, Z: NaN",MURDER,0100,2021-01-22T00:00:00.0000000,2214,ELMONT,DR,4600
"X: 3126577, Y: 10108154, Z: NaN",MURDER,0100,2021-01-29T00:00:00.0000000,2103,MEARNS MEADOW,BLVD,1100
"X: 3109898, Y: 10085542, Z: NaN",MURDER,0100,2021-01-26T00:00:00.0000000,1629,35TH,ST,1900
"X: 3125638, Y: 10094350, Z: NaN",MURDER,0100,2021-02-06T00:00:00.0000000,631,IH 35,SVRD,7100
"X: 3134407, Y: 10085593, Z: NaN",MURDER,0100,2021-02-02T00:00:00.0000000,1948,MANOR,RD,6100
"X: 3118746, Y: 10057154, Z: NaN",MURDER,0100,2021-02-03T00:00:00.0000000,1109,WILLOW CREEK,DR,2200
